"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Спорт и отдых / Теннис и бадминтон / Большой теннис / Ракетки для тенниса;2;2020-01-04;21102;4975;714;3,38;411;1,95;57,56;120;40;33,33;7335;66;0,9;1366;9945188;12822716;56,32;22767904;3895;2696;16765595;69,22;85,54;78;999999;20615,12;14293;106;131000;12756,6;7811;4,83;3,83;79,6
Детские товары / Товары для кормления / Аксессуары для бутылочек;1;2020-01-04;75903;12335;524;0,69;415;0,55;79,2;493;87;17,65;22783;164;0,72;32467;9939808;1452216;12,75;11392024;47382;20074;7683157;42,37;43,78;0;841681;2850,93;402;92;4731;634,22;497;4,75;4,57;91,1
Хобби и творчество / Музыкальные инструменты / Ударные и перкуссия / Народные ударные инструменты;2;2020-01-04;62877;13578;824;1,31;536;0,85;65,05;409;70;17,11;19534;135;0,69;4185;9923024;10258531;50,83;20181555;7451;3667;12318137;49,21;53,41;45;698683;6684,86;1322,5;217;66637;4580,92;2707;4,76;4,47;86,9
Автотовары / Масла и автохимия / Тормозные жидкости;2;2020-01-04;3074;247;536;17,44;389;12,65;72,57;254;97;38,19;822;186;22,63;23858;9921357;2935001;22,83;12856358;39983;16881;9239472;42,22;50,28;141;114016;1436,62;955;141;114016;1258,52;702;4,91;4,82;95,5
Товары для курения и аксессуары / Товары для курения / Зажигалки, спички и аксессуары / Аксессуары и расходники для зажигалок;2;2020-01-04;36777;14249;171;0,46;152;0,41;88,89;192;15;7,81;12216;54;0,44;21508;9906283;4175561;29,65;14081844;9448;2354;1466129;24,92;13,18;0;194269;2061,3;659;141;4642;904,7;533,5;4,73;4,8;68,6
Одежда / Детская одежда / Одежда для новорожденных / Верхняя одежда для новорожденных;2;2020-01-04;1278;0;618;48,36;423;33,1;68,45;111;65;58,56;196;70;35,71;2955;9892728;5610596;36,19;15503324;3853;1946;7341679;50,51;39,12;77;19990;3693,57;3102,5;216;16915;4310,96;3703;4,9;4,89;51,5
Дом и сад / Посуда и кухонные принадлежности / Хранение продуктов / Бочки, кадки и бидоны;2;2020-01-04;42688;10090;641;1,5;448;1,05;69,89;359;69;19,22;18204;137;0,75;5190;9865964;12305999;55,5;22171963;9932;5253;9472322;52,89;57,41;11;199213;3724,37;1899;128;31548;5735,74;2814,5;4,62;4,72;84,7
Автотовары / Запчасти для легковых автомобилей / Система очистки стекол и фар / Резинки щеток стеклоочистителя;2;2020-01-04;16557;3650;518;3,13;352;2,13;67,95;202;65;32,18;7991;119;1,49;26294;9863604;2388600;19,5;12252204;40111;17099;7690274;42,63;45,76;11;962847;10484,29;1130;72;3636;661,89;509,5;4,61;4,62;90,8
Аптека / Витамины и БАДы / БАД / БАД для улучшения зрения;2;2020-01-04;879;57;192;21,84;166;18,89;86,46;179;84;46,93;294;103;35,03;11339;9850392;759715;7,16;10610107;26333;13828;15525395;52,51;69,67;235;25200;2403,89;1651;235;15304;1989,6;1231;4,82;4,8;96,3
Спорт и отдых / Виды спорта / Баскетбол / Баскетбольные мячи;2;2020-01-04;104878;21269;711;0,68;394;0,38;55,41;313;68;21,73;23405;111;0,47;5628;9835832;1693078;14,69;11528910;19761;13700;24152645;69,33;105,34;0;997287;18871,63;13592;262;35334;2839,11;2033;4,67;4,69;75,6
Дом и сад / Посуда и кухонные принадлежности / Предметы для сервировки стола / Наборы для канапе;2;2020-01-04;62025;9955;978;1,58;713;1,15;72,9;455;95;20,88;15998;188;1,18;42975;9819977;1115606;10,2;10935583;125747;82552;26152870;65,65;87,78;0;2297010;1096,59;251;30;9833;431,53;254;4,87;4,84;85,1
Детские товары / Игрушки и игры / Куклы и аксессуары / Пупсы;2;2020-01-04;25256;5794;825;3,27;444;1,76;53,82;279;55;19,71;9364;74;0,79;9002;9818483;4082476;29,37;13900959;16569;9794;18080656;59,11;55,22;23;962968;9697,22;3452,5;162;38868;1773,96;1279;4,79;4,52;80,7
Автотовары / Инструменты и оборудование для авто / Пневмоинструменты для автомобиля;2;2020-01-04;23319;6484;357;1,53;246;1,05;68,91;512;77;15,04;12622;141;1,12;11290;9814525;1306123;11,75;11120648;21776;8540;9896040;39,22;57,86;0;197787;3570,67;1155;50;9191;1466,17;1112;4,68;4,37;90,6
Спорт и отдых / Бокс и единоборства / Боксерские капы;2;2020-01-04;13417;2755;465;3,47;373;2,78;80,22;163;80;49,08;4132;110;2,66;21698;9805192;2390686;19,6;12195878;27608;7812;4074917;28,3;38,17;77;223648;5348,6;802,5;124;9149;885,85;619;4,68;4,63;77,2
Продукты питания / Масла, соусы и специи / Масла / Льняное масло;1;2020-01-04;851;34;227;26,67;207;24,32;91,19;160;73;45,62;276;109;39,49;23965;9802646;1721449;14,94;11524095;16647;3506;1516358;21,06;20,84;88;13379;1192,17;821;88;2113;542,64;466;4,85;4,83;98,7
