"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Одежда / Женская одежда / Верхняя одежда женская / Куртки и пуховики женские;3;2020-01-04;1528711;188711;129397;8,46;89191;5,83;68,93;4541;2067;45,52;41728;2518;6,03;558505;3510479692;3101101114;46,9;6611580806;668081;396353;2419508513;59,33;35,89;56;1023981;4517,86;2424;200;200000;8312,18;5761;4,6;4,68;38,8
Одежда / Женская одежда / Брюки, бриджи и капри женские;2;2020-01-04;803248;121558;175181;21,81;126161;15,71;72,02;6047;3368;55,7;37111;4357;11,74;1764943;3505975410;1295262201;26,98;4801237611;2434220;1336951;2766574281;54,92;41,38;8;940801;3025,27;1307;8;500000;2755,94;1915,5;4,63;4,7;37,2
Одежда / Женская одежда / Платья и сарафаны женские;2;2020-01-04;1195214;199845;198072;16,57;136118;11,39;68,72;6034;3274;54,26;37835;3919;10,36;1011584;2713594049;1293879126;32,29;4007473175;1801526;1150016;3387388705;63,84;53,43;8;963281;3673,39;1471,5;8;500000;3610,67;2734,5;4,55;4,69;33,7
Обувь / Мужская обувь / Кеды, кроссовки и слипоны мужские;2;2020-01-04;3270301;495764;174137;5,32;101703;3,11;58,4;2572;947;36,82;46390;1684;3,63;604606;2431074115;1449621100;37,35;3880695215;1932380;1546981;6606581950;80,06;95,88;11;6054300;6743,81;3674;144;6054300;5479,63;3507;4,69;4,68;43,3
Одежда / Мужская одежда / Верхняя одежда мужская / Куртки и пуховики мужские;3;2020-01-04;1129991;130091;86243;7,63;56470;5;65,48;3375;1355;40,15;30214;1764;5,84;333813;2275559616;1625701357;41,67;3901260973;515834;328013;2181809270;63,59;46,36;30;1315080;5895,16;2580;30;500000;9336,24;6375;4,56;4,68;46,4
Обувь / Женская обувь / Ботинки и полуботинки женские;3;2020-01-04;544558;58854;134617;24,72;94698;17,39;70,35;2237;1003;44,84;18744;1062;5,67;632995;2238437934;1812827823;44,75;4051265757;1112986;730156;2704006736;65,6;52,75;20;6054300;6438,38;3773;20;6054300;5260,49;3800;4,72;4,64;41,1
Одежда / Женская одежда / Костюмы и комплекты одежды женские;2;2020-01-04;773520;128133;128089;16,56;83828;10,84;65,45;4501;2550;56,65;32691;3522;10,77;621022;2107754220;1047653695;33,2;3155407915;1087259;707511;2387813980;65,07;52,52;20;1138495;2652,37;1809;24;200000;3990,81;3074,5;4,57;4,51;42,4
Бытовая техника / Техника для дома / Пылесосы / Вертикальные пылесосы;1;2020-01-04;22039;3864;3944;17,9;2958;13,42;75;789;402;50,95;2483;843;33,95;131016;2079679865;337851645;13,98;2417531510;163461;64119;785978008;39,23;37,43;7;4937724;24711,61;15401;26;4937724;17687,17;8601,5;4,72;4,31;87,5
Одежда / Женская одежда / Джинсы и джеггинсы женские;2;2020-01-04;377414;65564;76037;20,15;60377;16;79,4;2057;939;45,65;17070;1193;6,99;730608;2032045890;862365570;29,79;2894411460;936510;514791;1733341722;54,97;38,45;8;938444;4653,59;2318;8;80000;3566,67;2661;4,61;4,69;39,5
Одежда / Женская одежда / Джемперы, свитеры и кардиганы женские;2;2020-01-04;700603;99232;116529;16,63;87513;12,49;75,1;3705;1843;49,74;31120;2378;7,64;1055372;1985536256;960972504;32,61;2946508760;1328967;717949;1544761410;54,02;37,78;8;651392;2855,08;1377,5;8;651392;2717,41;1957;4,57;4,71;40,2
Одежда / Мужская одежда / Брюки мужские;2;2020-01-04;517668;65137;92207;17,81;62037;11,98;67,28;3293;1717;52,14;19178;2107;10,99;720653;1652159638;599123787;26,61;2251283425;1290324;793783;2142725517;61,52;53,71;20;963851;3993,49;1704;146;333613;3397,26;2610;4,58;4,71;46,3
Обувь / Мужская обувь / Ботинки и полуботинки мужские;3;2020-01-04;315403;34637;67036;21,25;46098;14,62;68,77;1550;727;46,9;12359;975;7,89;324590;1650666939;1165802690;41,39;2816469629;401055;229550;1284273317;57,24;37,07;20;10000000;8010,65;4166;54;10000000;7260,04;4871;4,66;4,67;47,0
Обувь / Женская обувь / Кроссовки и кеды женские;2;2020-01-04;733432;89590;132711;18,09;75070;10,24;56,57;2160;915;42,36;19189;1257;6,55;398552;1472091285;810946771;35,52;2283038056;1658795;1395404;5330005286;84,12;124,86;20;10000000;8561,46;4139;28;6054300;5064,47;2937,5;4,74;4,7;37,2
Одежда / Женская одежда / Нижнее белье женское / Бюстгальтеры женские;2;2020-01-04;488591;57183;137324;28,11;89804;18,38;65,4;1403;708;50,46;20359;1048;5,15;1269800;1461334864;452297315;23,64;1913632179;2800074;1634528;2126512283;58,37;66,15;0;191477;1933,23;937,5;14;100451;2095,78;1513;4,69;4,77;48,2
Электроника / Телефоны и смарт-часы / Смартфоны;2;2020-01-04;200194;32102;7603;3,8;5302;2,65;69,74;204;66;32,35;1991;515;25,87;63873;1429917715;1094066259;43,35;2523983974;124275;76755;1591967778;61,76;58,37;5;4349997;60353,72;35606,5;154;2750000;35428,4;16428;4,74;4,33;90,9
Аксессуары / Женские аксессуары / Сумки и рюкзаки женские / Сумки женские;1;2020-01-04;1173878;256335;74286;6,33;49317;4,2;66,39;7250;2886;39,81;113345;5047;4,45;644294;1427654369;572437864;28,62;2000092233;1467902;892483;2361698605;60,8;68,35;0;7015999;3787,76;1016;17;267400;4234,46;2586;4,72;4,61;65,3
Аптека / Витамины и БАДы / Витамины и витаминно-минеральные комплексы / Витаминно-минеральные комплексы;2;2020-01-04;22446;992;8732;38,9;7889;35,15;90,35;1459;958;65,66;1579;955;60,48;1916404;1367745653;98321750;6,71;1466067403;3613456;1453259;1259132087;40,22;56,57;34;90000;1980,65;1351;101;60414;1445,32;922;4,87;4,79;92,3
Бытовая техника / Техника для кухни / Печи и грили / Аэрогрили;2;2020-01-04;96986;27539;2521;2,6;1911;1,97;75,8;1087;351;32,29;20904;694;3,32;134185;1319819432;310495692;19,05;1630315124;151459;54070;526980255;35,7;33,86;16;1000000;9376,25;6014,5;51;665270;11249,08;8546;4,61;4,45;88,5
Красота и здоровье / Уход за лицом / Увлажнение и питание для лица / Кремы для лица;1;2020-01-04;470116;100836;28514;6,07;22774;4,84;79,87;5886;2642;44,89;81244;3882;4,78;1664375;1284419435;239981781;15,74;1524401216;2506733;925273;1090195907;36,91;45,18;0;1603290;6673,67;2020;20;273735;1672,49;916,5;4,77;4,65;89,9
Книги;2;2020-01-04;5596462;610407;689577;12,32;123166;2,2;17,86;158;75;47,47;27401;3488;12,73;2050976;1253793407;511951737;28,99;1765745144;5754858;3811817;2918959609;66,24;84,18;3;12693320;1887,21;1034,5;12;169397;987,41;651;4,87;3,74;89,0
Обувь / Женская обувь / Сапоги и полусапоги женские;3;2020-01-04;245979;19425;49897;20,29;38858;15,8;77,88;1576;642;40,74;12873;669;5,2;261952;1232936574;1422877468;53,58;2655814042;199502;77578;402165060;38,89;22,85;25;882727;6713,79;2725;25;73050;6720,01;5180;4,69;4,58;39,8
Одежда / Женская одежда / Блузы и рубашки женские;1;2020-01-04;564081;84878;103614;18,37;70837;12,56;68,37;3726;1831;49,14;22656;2198;9,7;696901;1226681638;489885032;28,54;1716566670;1364765;882851;1862116095;64,69;58,75;8;611537;2369,11;990,5;8;81860;2276,45;1761,5;4,59;4,72;43,2
Дом и сад / Текстиль / Постельное белье / Комплекты постельного белья;1;2020-01-04;343313;47161;37822;11,02;24281;7,07;64,2;1495;728;48,7;25161;991;3,94;535898;1164472800;489729029;29,61;1654201829;722294;333326;1065965630;46,15;40,43;20;276479;6609,9;3728;20;104000;4703,07;3527,5;4,67;4,74;77,0
Одежда / Мужская одежда / Футболки и майки мужские / Футболки и поло мужские;2;2020-01-04;3771123;671221;200016;5,3;101582;2,69;50,79;5405;2102;38,89;55492;2713;4,89;1147232;1163211730;418070601;26,44;1581282331;2876187;1989828;2530856604;69,18;75,21;20;943578;1155,19;697;20;60333;1631,9;1153;4,61;4,76;47,9
Продукты питания / Чай, кофе и какао / Кофе / Кофе в зернах;1;2020-01-04;40070;5058;6330;15,8;5578;13,92;88,12;1057;537;50,8;3803;700;18,41;655911;1152415074;100934092;8,05;1253349166;815152;224833;438272668;27,58;37,28;33;207894;4968,13;2451,5;203;37600;2168,55;2043;4,77;4,77;98,7
Одежда / Мужская одежда / Джинсы мужские;2;2020-01-04;228233;34842;42110;18,45;30801;13,5;73,14;1303;652;50,04;10428;753;7,22;356995;1131698688;400613129;26,14;1532311817;521678;283993;979677641;54,44;43,84;20;499827;6395,54;3183;20;308601;4422,88;3487;4,65;4,7;46,0
Одежда / Женская одежда / Купальники и пляжная одежда женская / Купальники женские;3;2020-01-04;372479;81614;47465;12,74;33862;9,09;71,34;1590;782;49,18;20627;1054;5,11;362029;1128703823;1671189087;59,69;2799892910;918548;582330;1347696296;63,4;76,12;20;627604962;3731,42;1085;20;627604962;21238,69;2152,5;4,66;4,59;29,6
Электроника / Наушники и аудиотехника / Наушники;1;2020-01-04;341864;70865;15945;4,66;11920;3,49;74,76;2788;922;33,07;65993;2642;4;749108;1088127348;345060236;24,08;1433187584;1097168;465914;876192105;42,47;43,94;0;2750000;9237,35;2724;2;242563;3567,85;1734;4,56;4,38;82,6
Бытовая техника / Крупная бытовая техника / Стиральные машины / Стиральные машины полноразмерные;2;2020-01-04;24729;4715;1664;6,73;1111;4,49;66,77;218;65;29,82;2851;90;3,16;40075;1085177446;347179302;24,24;1432356748;77108;43196;1311381387;56,02;57,72;8;1631710;47864,47;34908;8;268397;39990,25;34718;4,66;4,24;97,1
Обувь / Женская обувь / Туфли и балетки женские;2;2020-01-04;471191;54048;117351;24,91;73818;15,67;62,9;1822;711;39,02;16687;709;4,25;373451;1058847658;884742285;45,52;1943589943;985402;749190;2493650307;76,03;79,16;20;629107;5503,19;2622,5;20;106000;4214,93;3035,5;4,71;4,7;37,6
Товары для животных / Товары для собак / Корм для собак / Сухие корма для собак;1;2020-01-04;66108;4966;12204;18,46;9553;14,45;78,28;631;426;67,51;1220;707;57,95;325253;1058371101;321857269;23,32;1380228370;430512;148279;424507333;34,44;39,71;20;104620;6250,04;4402;20;40910;4803,66;3555,5;4,88;4,77;96,8
Мебель / Мебель для спальни и комплектующие / Матрасы;2;2020-01-04;773904;55907;4804;0,62;3231;0,42;67,26;722;242;33,52;7655;332;4,34;99580;1038859436;225204112;17,82;1264063548;124125;40867;435780781;32,92;37,39;77;2550831;28996,04;20022,5;739;118290;11318,11;8220;4,71;4,74;83,4
Одежда / Женская одежда / Нижнее белье женское / Трусы женские;1;2020-01-04;388875;63341;78224;20,12;56861;14,62;72,69;1851;997;53,86;25535;1556;6,09;1289342;1038418501;235041177;18,46;1273459678;3015598;1824604;1721400980;60,51;70,17;11;189858;1067,37;555,5;20;28632;950,4;775;4,69;4,74;50,2
Автотовары / Аккумуляторы и аксессуары / Зарядные устройства для АКБ;2;2020-01-04;43389;13360;3851;8,88;3005;6,93;78,03;1267;498;39,31;8343;1066;12,78;263700;1022091834;264627593;20,57;1286719427;189400;44216;190621806;23,35;21,55;11;900000;6256,34;3295;50;324305;5825,79;4079;4,72;4,63;90,8
Электроника / Телевизоры и видеотехника / Телевизоры;1;2020-01-04;20081;4093;1548;7,71;1146;5,71;74,03;220;93;42,27;1107;167;15,09;38182;962480741;490953430;33,78;1453434171;74857;39357;1038855371;52,58;58,82;54;11303542;84375,38;38992,5;6749;817535;47039,38;27936;4,69;4,42;91,3
Одежда / Женская одежда / Футболки и топы женские / Футболки и поло женские;2;2020-01-04;6510463;1417403;227769;3,5;118006;1,81;51,81;6498;2696;41,49;73530;3559;4,84;1128298;938041574;423389520;31,1;1361431094;3060156;2237247;2361683473;73,11;81,37;8;938444;1012,34;715;8;65207;1270,12;968;4,66;4,77;45,3
Обувь / Женская обувь / Угги, валенки и дутики женские;3;2020-01-04;331207;33417;41104;12,41;34449;10,4;83,81;1089;518;47,57;18754;788;4,2;301295;937710265;938599359;50,02;1876309624;187443;73610;275133815;39,27;18,66;8;144940;2859,63;1820;8;56218;3690,4;2873;4,7;4,72;44,0
Одежда / Мужская одежда / Толстовки, свитшоты и худи мужские;2;2020-01-04;1410654;230716;70777;5,02;44238;3,14;62,5;3675;1447;39,37;35555;1811;5,09;415326;933190445;418736207;30,97;1351926652;635002;391022;1059709997;61,58;45,87;13;943578;2440,7;1463;13;66000;3162,16;2398;4,53;4,71;48,7
Красота и здоровье / Уход за волосами / Шампуни и кондиционеры / Шампуни для волос;1;2020-01-04;224692;40823;20466;9,11;15699;6,99;76,71;4091;1883;46,03;39081;2568;6,57;1176726;915178336;137493135;13,06;1052671471;1801666;715439;897119777;39,71;45,93;20;222852000;6181,98;2268,5;20;437695;1440,69;904;4,8;4,66;92,2
Одежда / Женская одежда / Верхняя одежда женская / Пальто женские;3;2020-01-04;202113;27525;27130;13,42;19182;9,49;70,7;1752;774;44,18;14823;857;5,78;107875;900418581;794289882;46,87;1694708463;123087;68048;695700182;55,28;34,23;50;925491;6445;2412,5;200;300000;11909,93;8933;4,43;4,62;40,5
Электроника / Телефоны и смарт-часы / Аксессуары для смартфонов и телефонов / Чехлы для смартфонов;1;2020-01-04;4564464;452611;408052;8,94;173707;3,81;42,57;2879;996;34,6;78281;2146;2,74;1999347;877856201;315161643;26,42;1193017844;4177227;2267830;1254617247;54,29;62,68;0;3038338;905,65;554;2;99990;658,58;450;4,81;4,71;83,2
Одежда / Мужская одежда / Костюмы и комплекты одежды мужские;2;2020-01-04;451711;65535;43746;9,68;28007;6,2;64,02;1608;755;46,95;16742;1063;6,35;195677;862810799;460199958;34,78;1323010757;316861;203807;881112688;64,32;48,58;77;1450948;3685,27;1887;246;157900;5818,97;4150;4,55;4,56;45,3
Бытовая техника / Крупная бытовая техника / Холодильники / Холодильники полноразмерные;2;2020-01-04;26140;3236;1808;6,92;1164;4,45;64,38;195;65;33,33;933;80;8,57;23350;859628976;344985474;28,64;1204614450;40197;21139;928476756;52,59;51,64;1000;1618003;80344,12;55626,5;7012;215861;48561,69;43055;4,73;4,12;93,4
Бытовая техника / Техника для дома / Пылесосы / Роботы-пылесосы;2;2020-01-04;12585;1739;1674;13,3;1122;8,92;67,03;340;122;35,88;1494;309;20,68;36058;852284903;152830234;15,21;1005115137;46242;17492;500244303;37,83;38,47;5;2750000;41049,59;24374;79;648477;32840,98;21059,5;4,62;4,12;88,7
Одежда / Женская одежда / Верхняя одежда женская / Дубленки и шубы женские;3;2020-01-04;144763;22222;14653;10,12;12434;8,59;84,86;891;314;35,24;10324;446;4,32;85358;841126747;884301675;51,25;1725428422;41650;11555;135287957;27,74;14,64;155;3422969;10688,63;3486;256;220143;12077,32;10899;4,59;4,75;35,5
Товары для животных / Товары для кошек / Корм для кошек / Сухие корма для кошек;1;2020-01-04;61717;5197;10233;16,58;8132;13,18;79,47;553;369;66,73;1164;683;58,68;425752;830135124;248324134;23,03;1078459258;608635;251740;457270199;41,36;42,89;0;7513395;4913,26;3070;20;35000;3346,03;2273;4,89;4,8;93,4
Одежда / Женская одежда / Юбки женские;1;2020-01-04;341822;58818;64535;18,88;46319;13,55;71,77;3384;1799;53,16;24023;2145;8,93;412534;825715922;363888117;30,59;1189604039;707737;429302;1019559378;60,66;51,47;10;940801;2977,44;1128;20;500000;2607,15;1985;4,68;4,73;39,6
Спорт и отдых / Спортивное питание / Протеины, гейнеры, углеводы;2;2020-01-04;21108;1257;5108;24,2;4372;20,71;85,59;586;284;48,46;2645;353;13,35;397409;823978137;73201764;8,16;897179901;467278;153672;420641635;32,89;35,27;24;54848;7770,13;5385;50;26606;3540,54;2510,5;4,79;4,77;90,7
Строительство и ремонт / Сантехника / Смесители и комплектующие / Смесители;1;2020-01-04;275098;38494;21981;7,99;13091;4,76;59,56;1747;671;38,41;25210;1258;4,99;279031;822687873;241502923;22,69;1064190796;468028;204378;690354573;43,67;50,32;11;1186701;11870,99;7206;50;116270;6188,59;4476;4,72;4,47;85,8
Одежда / Женская одежда / Толстовки, свитшоты и худи женские;2;2020-01-04;438185;60325;60266;13,75;41698;9,52;69,19;3098;1561;50,39;20421;1833;8,98;428000;814473764;351384222;30,14;1165857986;627234;365347;855081809;58,25;43,96;20;940801;2448,68;1217;20;96612;2459,75;1959,5;4,58;4,73;39,2
Бытовая химия и гигиена / Бытовая химия / Средства для стирки / Гели и жидкости для стирки;2;2020-01-04;32943;4771;6079;18,45;4938;14,99;81,23;1297;730;56,28;6548;1119;17,09;1085276;808947190;83470965;9,35;892418155;1768075;650221;443142848;36,78;48,87;4;943615;3941,46;1432;112;22775;1305,6;903,5;4,83;4,7;94,2
Аптека / Парафармацевтика / Комплексные пищевые добавки;2;2020-01-04;205186;46705;17251;8,41;14337;6,99;83,11;3136;1265;40,34;33933;1600;4,72;992175;775427866;227233108;22,66;1002660974;1446174;672208;750991213;46,48;43,73;4;3141709;5092,62;2084;4;51777;1341,85;884;4,8;4,7;90,3
Одежда / Женская одежда / Пиджаки, жакеты и жилеты женские;2;2020-01-04;312812;42149;42187;13,49;29280;9,36;69,41;2717;1265;46,56;21309;1546;7,26;222709;771002726;385311869;33,32;1156314595;324843;188743;698275738;58,1;43,76;68;612183;3241,13;1422;68;500000;4164,32;3018;4,57;4,68;38,6
Бытовая химия и гигиена / Личная гигиена / Гигиена полости рта / Зубные пасты и порошки;1;2020-01-04;153265;37761;10120;6,6;8309;5,42;82,1;1510;654;43,31;30917;1399;4,53;1315954;764571659;73853949;8,81;838425608;2016951;699688;493481659;34,69;45,98;0;500000;2384,38;606,5;93;34500;781,38;583;4,79;4,76;94,6
Дом и сад / Цветы, растения и горшки / Семена и саженцы / Семена;2;2020-01-04;472376;60601;118895;25,17;91706;19,41;77,13;758;461;60,82;2526;1440;57,01;4698963;755899867;218394332;22,42;974294199;6673815;3273618;648624451;49,05;42,61;5;111924;481,07;205;17;24091;216,07;156;4,75;4,7;88,9
Одежда / Детская одежда / Одежда для девочек / Верхняя одежда для девочек;2;2020-01-04;333144;32241;76366;22,92;44301;13,3;58,01;1837;929;50,57;14484;1219;8,42;173695;754944476;731232202;49,2;1486176678;443902;332055;1383128220;74,8;76,67;44;386900;3121,56;1636;100;89800;5163,98;4174;4,83;4,74;45,7
Одежда / Женская одежда / Домашняя одежда женская / Пижамы женские;2;2020-01-04;378335;64336;55747;14,73;36708;9,7;65,85;1986;1070;53,88;29051;1588;5,47;465214;733649585;261617494;26,29;995267079;950610;608549;1079467153;64,02;61,3;20;250330;1550,29;927;20;56838;2123,26;1673;4,61;4,74;48,0
Одежда / Мужская одежда / Термобелье мужское;3;2020-01-04;165090;29103;18006;10,91;12833;7,77;71,27;1618;798;49,32;21737;1595;7,34;688762;730373032;196304967;21,18;926677999;704302;304287;405019205;43,2;30,68;0;7188656;2382,27;1128;20;45882;2500,98;1690;4,61;4,72;49,4
Одежда / Мужская одежда / Джемперы, свитеры и кардиганы мужские;2;2020-01-04;219670;30324;46158;21,01;32801;14,93;71,06;1640;756;46,1;12264;895;7,3;300617;720933388;327241811;31,22;1048175199;406660;224320;632381332;55,16;40,58;16;938444;4530,33;2076;16;62772;3402,34;2527,5;4,65;4,71;46,0
Строительство и ремонт / Силовая техника и оборудование / Электрогенераторы;2;2020-01-04;14963;1290;1700;11,36;1197;8;70,41;339;106;31,27;876;203;23,17;25003;720874015;313458665;30,31;1034332680;25997;10466;374176602;40,26;31,19;100;7755891;104092,87;51685,5;505;257358;35125,88;29691;4,81;4,65;87,3
Аксессуары / Женские аксессуары / Головные уборы женские / Шапки и кепки женские;3;2020-01-04;328598;48891;40827;12,42;29780;9,06;72,94;2626;1363;51,9;41632;1994;4,79;591359;713174371;261014385;26,79;974188756;674123;337615;363214339;50,08;34,2;0;3004480;1289,22;436;12;76121;2001,3;1388;4,68;4,69;70,9
Одежда / Женская одежда / Лонгсливы женские;2;2020-01-04;296703;54530;51307;17,29;39126;13,19;76,26;2268;1268;55,91;15770;1531;9,71;584597;712727300;192796928;21,29;905524228;930918;513382;742836889;55,15;47,77;88;500000;1277,57;775;88;500000;1555,42;1236;4,59;4,77;40,8
Одежда / Мужская одежда / Носки и гетры мужские;2;2020-01-04;131733;18937;23012;17,47;16797;12,75;72,99;1619;837;51,7;23271;1893;8,13;1182172;669859581;90416121;11,89;760275702;2373451;1398521;920353073;58,92;60,23;0;191913;1334,07;458;14;21473;732,65;591;4,61;4,76;48,3
Электроника / Ноутбуки, планшеты и электронные книги / Ноутбуки;2;2020-01-04;97195;22776;2278;2,34;1608;1,65;70,59;327;128;39,14;1621;366;22,58;14483;652478098;471696949;41,96;1124175047;21219;11373;571675168;53,6;43,95;4;22866612;169152,84;111703;57;999999;61250,37;43159,5;4,85;4,23;93,1
Одежда / Женская одежда / Футболки и топы женские / Майки и топы женские;2;2020-01-04;395503;63744;78567;19,87;53839;13,61;68,53;3718;1847;49,68;22518;2228;9,89;687649;649834967;195176822;23,1;845011789;1650957;1107381;1201854713;67,08;72,03;8;512312;1979,5;737;8;100582;1360,23;980;4,69;4,74;47,1
Красота и здоровье / Уход за лицом / Увлажнение и питание для лица / Сыворотки для лица;1;2020-01-04;182944;36212;13122;7,17;10083;5,51;76,84;3864;1611;41,69;32991;2183;6,62;725164;635903618;105153599;14,19;741057217;1233810;551650;688153117;44,71;51,04;0;841528;6067,7;2286;30;280630;1964,74;1220,5;4,74;4,57;88,7
Бытовая техника / Техника для кухни / Кофеварки и кофемашины / Кофемашины автоматические и встраиваемые;2;2020-01-04;11886;1185;1092;9,19;813;6,84;74,45;422;138;32,7;1151;247;21,46;22310;625447016;228045004;26,72;853492020;37630;19064;670707302;50,66;50,6;20;48166761;80850,51;54690;50;765227;45486,92;36641;4,77;4,55;88,4
Дом и сад / Посуда и кухонные принадлежности / Посуда для приготовления / Сковороды;2;2020-01-04;142233;29479;11259;7,92;7765;5,46;68,97;1362;470;34,51;30763;810;2,63;298939;607439430;89874933;12,89;697314363;604137;288280;755864273;47,72;60,63;67;1000000;5789,58;3250;187;337945;3311,78;2525;4,68;4,62;82,2
Одежда / Женская одежда / Комбинезоны женские;2;2020-01-04;140277;26295;13020;9,28;10180;7,26;78,19;1258;513;40,78;12742;691;5,42;105741;597096550;486708665;44,91;1083805215;125302;62374;246056804;49,78;35,55;44;956537;3384,48;1464;99;139268;7710,93;4488;4,54;4,73;38,9
Бытовая техника / Крупная бытовая техника / Посудомоечные машины;1;2020-01-04;15237;2306;816;5,36;542;3,56;66,42;217;57;26,27;3972;70;1,76;22073;591876281;217320647;26,86;809196928;18394;4119;160157151;22,39;25;155;1037600;46861,08;35199;2567;120883;37415,14;33421,5;4,67;4,23;93,6
Бытовая техника / Техника для дома / Пылесосы / Моющие пылесосы;1;2020-01-04;6883;1115;1105;16,05;838;12,17;75,84;472;220;46,61;1148;395;34,41;44063;588958959;95362654;13,94;684321613;53127;22054;318733425;41,51;36,17;10;500000;25906,65;15601;20;222793;15290,47;10220,5;4,82;4,56;88,3
Бытовая техника / Техника для красоты и здоровья / Массажное оборудование и аксессуары / Массажные приборы;1;2020-01-04;242565;71290;4558;1,88;3533;1,46;77,51;2085;683;32,76;62460;1538;2,46;200144;577239336;102772307;15,11;680011643;236744;92065;372970078;38,89;35,49;0;1292354;7126,02;2289;20;136002;4730,44;2023;4,67;4,53;92,7
Одежда / Мужская одежда / Рубашки мужские;2;2020-01-04;339771;45111;61304;18,04;36760;10,82;59,96;1822;780;42,81;11439;896;7,83;266057;569415932;240645032;29,71;810060964;668965;464387;1124076579;69,42;75,43;20;519802;3410,2;1351;172;36757;2752,1;2122;4,58;4,73;50,3
Дом и сад / Текстиль / Шторы и карнизы / Шторы и портьеры;2;2020-01-04;245781;22330;44009;17,91;21935;8,92;49,84;951;514;54,05;12082;811;6,71;230113;564128234;204996208;26,65;769124442;466831;233823;643700492;50,09;60,86;0;828148;5794,18;4097;20;45022;4416,63;3520;4,78;4,76;76,9
Автотовары / Масла и автохимия / Моторные масла / Автомобильные моторные масла;2;2020-01-04;36565;0;8593;23,5;6389;17,47;74,35;509;287;56,39;1149;591;51,44;212922;560251102;153089860;21,46;713340962;292360;117548;311661037;40,21;41,19;76;500000;5448,98;3082;81;29439;3597,81;2803;4,87;4,83;95,9
Автотовары / Запчасти для легковых автомобилей / Автосвет / Автолампы;2;2020-01-04;411392;67689;28835;7,01;17869;4,34;61,97;1820;693;38,08;32692;1667;5,1;568179;560242708;115418171;17,08;675660879;1113276;569026;640796960;51,11;58,78;0;16469619;2599,93;1388;32;26151;1648,73;1086;4,76;4,65;89,4
Красота и здоровье / Уход за лицом / Очищение и умывание;1;2020-01-04;133808;25636;12976;9,7;10081;7,53;77,69;4038;1849;45,79;33998;2483;7,3;947125;551258516;80104511;12,69;631363027;1772923;796182;651819447;44,91;56,16;0;1000137;4512,39;1351;32;285545;1067,62;651;4,81;4,67;89,5
Одежда / Детская одежда / Одежда для мальчиков / Брюки, джинсы и шорты для мальчиков;2;2020-01-04;181119;20619;66376;36,65;43158;23,83;65,02;1763;1026;58,2;7255;1235;17,02;390347;548367755;265142604;32,59;813510359;883920;610359;872077827;69,05;67,93;77;145926;1841,17;1083;96;31450;1771,79;1447,5;4,81;4,75;47,8
Дом и сад / Дача и сад / Уборка снега / Снегоуборочные машины;3;2020-01-04;47737;10793;4936;10,34;3909;8,19;79,19;656;279;42,53;7036;618;8,78;74405;541918766;669778126;55,28;1211696892;37464;10944;88081224;29,21;15,11;8;2416131;20919,7;5585,5;81;672787;9058,45;1191;4,6;4,32;86,6
Электроника / Телефоны и смарт-часы / Смарт-часы;2;2020-01-04;64054;12195;5454;8,51;3882;6,06;71,18;691;270;39,07;5488;698;12,72;86300;521949319;287188834;35,49;809138153;131431;69212;514701210;52,66;45,69;0;3298724;24461,83;4779,5;90;1991907;11914,36;4329;4,65;4,44;85,5
Одежда / Униформа и рабочая одежда / Рабочая спецодежда;1;2020-01-04;210561;29497;47762;22,68;30472;14,47;63,8;1363;645;47,32;24103;1223;5,07;233897;520896444;266664326;33,86;787560770;501011;306895;751512424;61,26;64,26;22;981783;4018,61;2146;93;103930;3525,13;2336;4,71;4,69;42,4
Дом и сад / Хозяйственные товары / Инвентарь для уборки / Швабры для уборки;1;2020-01-04;84171;21331;5799;6,89;4547;5,4;78,41;1265;521;41,19;28745;1119;3,89;392976;512258043;766232057;59,93;1278490100;503869;160723;200784643;31,9;38,47;0;1374640;2618,48;875;20;1374640;1491,61;818;4,62;4,52;88,6
Одежда / Мужская одежда / Нижнее белье мужское / Комплекты белья мужские;1;2020-01-04;102763;18071;14946;14,54;11195;10,89;74,9;743;345;46,43;12457;603;4,84;472767;511796968;81212919;13,7;593009887;1177152;708681;806166584;60,2;74,7;11;938444;1886,09;937;20;34880;1497,5;1195;4,63;4,78;58,5
Детские товары / Подгузники и гигиена / Подгузники и трусики / Подгузники-трусики;1;2020-01-04;20858;3496;1825;8,75;1452;6,96;79,56;312;162;51,92;4838;222;4,59;395979;508517810;41038437;7,47;549556247;458775;143565;213300741;31,29;34,76;0;500000;4758,21;1776,5;77;500000;1859,44;1321,5;4,82;4,61;97,4
